filename,x,y,source_x,source_y
mirror_Vertical_velocity_18_Source_x_0.075_Source_y_0.825.txt,0.150,0.825,0.075,0.825
mirror_Vertical_velocity_18_Source_x_0.15_Source_y_0.75.txt,0.150,0.825,0.150,0.750
mirror_Vertical_velocity_18_Source_x_0.15_Source_y_0.9.txt,0.150,0.825,0.150,0.900
mirror_Vertical_velocity_18_Source_x_0.225_Source_y_0.825.txt,0.150,0.825,0.225,0.825
mirror_Vertical_velocity_19_Source_x_-0.075_Source_y_-0.825.txt,0.000,-0.825,-0.075,-0.825
mirror_Vertical_velocity_19_Source_x_0_Source_y_-0.9.txt,0.000,-0.825,0.000,-0.900
mirror_Vertical_velocity_19_Source_x_0_Source_y_-0.75.txt,0.000,-0.825,0.000,-0.750
mirror_Vertical_velocity_19_Source_x_0.075_Source_y_-0.825.txt,0.000,-0.825,0.075,-0.825
Vertical_velocity_19_Source_x_-0.075_Source_y_0.825.txt,0.000,0.825,-0.075,0.825
Vertical_velocity_19_Source_x_0_Source_y_0.75.txt,0.000,0.825,0.000,0.750
Vertical_velocity_19_Source_x_0_Source_y_0.9.txt,0.000,0.825,0.000,0.900
mirror_Vertical_velocity_19_Source_x_0.075_Source_y_0.825.txt,0.000,0.825,0.075,0.825
mirror_Vertical_velocity_20_Source_x_-1.35_Source_y_-0.75.txt,-1.275,-0.750,-1.350,-0.750
mirror_Vertical_velocity_20_Source_x_-1.27_Source_y_-0.825.txt,-1.275,-0.750,-1.275,-0.825
